,ID,Age,Gender,Marrige,Education,Bank_Credit_Condition,Housing_Condition,Old_Client,Current_Job_Working_Years,Loan_Amount,Loan_Purpose,Loan_Period,Monthly_Interest_Rate,Breach_Monthly_Interest_Rate,Other_Loan,Collateral,Way_of_Mortgage,Full_Value,Client_Category,Loan_Time
85,1008008,27,男,未婚,大专,无,自有,否,24,100000,经营,12,0.0153,0.01989,无,有,抵押,是,无逾期,2010-08-17
86,1008009,33,男,已婚,高中,逾期1次以上,自有,否,24,2000000,经营,12,0.015,0.0195,无,有,抵押,否,逾期,2010-10-14
87,1008012,33,男,已婚,本科及以上,无,自有,否,36,500000,经营,3,0.0147,0.01911,无,有,质押,是,无逾期,2010-08-30
88,1008013,36,男,已婚,初中,无,自有,否,60,100000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-08-25
89,1008014,34,男,已婚,初中,无,自有,否,48,100000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-08-25
90,1008015,32,男,已婚,高中,无,自有,否,36,1000000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-08-25
91,1008016,48,男,已婚,小学,无,自有,是,24,500000,经营,12,0.0153,0.01989,信用社贷款,无,担保,否,无逾期,2010-08-26
92,1009001,48,男,已婚,初中,无,自有,否,48,60000,经营,12,0.015,0.0195,信用社贷款,有,抵押,是,无逾期,2010-09-09
93,1009001,40,男,已婚,初中,有违约,自有,否,36,50000,经营,6,0.015,0.0195,无,无,担保,否,逾期,2010-10-21
94,1009002,27,男,已婚,本科及以上,无,自有,否,12,200000,经营,6,0.0126,0.01638,银行贷款,无,质押,否,无逾期,2010-10-21
95,1009003,59,男,已婚,小学,无,自有,是,156,600000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-09-20
96,1009003,30,男,已婚,小学,无,自有,否,24,100000,经营,6,0.0126,0.01638,无,无,质押,否,无逾期,2010-10-21
97,1009004,28,女,已婚,高中,无,自有,是,12,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-09-17
98,1009004,48,男,已婚,小学,无,自有,否,NA,100000,经营,6,0.0126,0.01638,无,无,质押,否,无逾期,2010-10-21
99,1009005,55,男,已婚,小学,无,自有,否,240,100000,经营,6,0.0126,0.01638,无,无,质押,否,无逾期,2010-10-21
100,1009006,32,女,已婚,高中,无,自有,否,36,150000,经营,12,0.0153,0.01989,无,无,质押,否,无逾期,2010-09-21
101,1009007,33,男,已婚,高中,无,自有,否,96,150000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-09-26
102,1009009,48,男,已婚,小学,无,自有,是,24,200000,经营,12,0.0153,0.01989,信用社贷款,无,质押,否,无逾期,2010-09-27
103,1009010,42,男,已婚,初中,无,自有,是,120,500000,经营,12,0.0153,0.01989,银行贷款,无,质押,否,无逾期,2010-09-29
104,1009011,27,男,已婚,本科及以上,无,自有,否,48,1000000,经营,3,0.015,0.0195,无,无,信用担保,否,无逾期,2010-09-29
